"Month","Monthly riverflow in cms, S. F. Skykomish River near index, Washington, Oct.1923 ? Sep. 1960"
"1955-04",72.604
"1955-05",138.554
"1955-06",155.091
"1955-07",143.708
"1955-08",56.832
"1955-09",35.793
"1955-10",43.438
"1955-11",99.166
"1955-12",55.161
"1956-01",38.341
"1956-02",61.957
"1956-03",25.853
"1956-04",55.614
"1956-05",105.056
"1956-06",194.395
"1956-07",131.475
"1956-08",47.091
"1956-09",18.916
"1956-10",95.796
"1956-11",142.207
"1956-12",95.513
"1957-01",41.059
"1957-02",21.124
"1957-03",40.465
"1957-04",114.145
"1957-05",196.208
"1957-06",170.864
"1957-07",114.174
"1957-08",26.844
"1957-09",25.060
"1957-10",82.912
"1957-11",74.332
"1957-12",160.811
"1958-01",29.138
"1958-02",46.779
"1958-03",53.434
"1958-04",91.010
"1958-05",161.236
"1958-06",108.312
"1958-07",39.729
"1958-08",17.613
"1958-09",11.412
"1958-10",17.075
"1958-11",35.424
"1958-12",73.624
"1959-01",68.782
"1959-02",69.518
"1959-03",37.775
"1959-04",71.415
"1959-05",142.236
"1959-06",74.813
"1959-07",23.560
"1959-08",12.290
"1959-09",20.218
"1959-10",52.528
"1959-11",158.659
"1959-12",137.620
"1960-01",117.402
"1960-02",40.946
"1960-03",58.191
"1960-04",130.852
"1960-05",127.171
"1960-06",155.998
"1960-07",87.669
"1960-08",23.531
"1960-09",84.129
"1960-10",109.728
"1960-11",171.034
"1960-12",114.712
"1961-01",33.131
"1961-02",56.549
"1961-03",46.864
"1961-04",86.112
"1961-05",109.303
"1961-06",114.485
"1961-07",42.928
"1961-08",20.077
"1961-09",17.273

Monthly riverflow in cms, S. F. Skykomish River near index, Washington, Oct.1923 ? Sep. 1960

