"Fire.Year","District","Unit","Fire.Number","Fire.Name","Legal","Latitude","Longitude","Fuel.Model","County","Report.Date","General.Cause","ODF.Acres","Total.Acres"
2015,"51†-†Tillamook","Tillamook",82,"NW 21ST","T2N R10W S29 NWNW","45∞37'59""","-123∞56'33""","F","Tillamook","6/23/2015 15:52","Debris Burning",0.01,0.01
2015,"51†-†Tillamook","Tillamook",87,"South Beach","T5S R11W S35 SWSW","45∞5'18""","-123∞59'50""","G","Tillamook","8/22/2015 19:00","Recreationist",0.01,0.01
2015,"51†-†Tillamook","Tillamook",104,"A STREET","T1N R10W S34 NESE","45∞31'32""","-123∞53'12""","G","Tillamook","9/8/2015 8:57","Recreationist",0.01,0.01
2015,"51†-†Tillamook","Tillamook",105,"BRADBURN","T1S R9W S34 NENE","45∞26'53""","-123∞45'46""","L","Tillamook","9/8/2015 11:50","Debris Burning",0.01,0.01
2015,"51†-†Tillamook","Tillamook",121,"CREAMERY","T1S R9W S18 NESW","45∞29'4""","-123∞50'14""","G","Tillamook","10/6/2015 8:00","Recreationist",0.01,0.01
2015,"52†-†Astoria","Astoria",3,"Burning Bush","T8N R10W S21 NWSW","46∞9'45""","-123∞56'27""","F","Clatsop","7/5/2015 13:00","Juveniles",0.01,0.01
2015,"52†-†Astoria","Astoria",4,"26 Guardrail Fire","T4N R7W S11 NWNW","45∞50'37""","-123∞31'25""","F","Clatsop","7/5/2015 13:30","Equipment Use",0.01,0.01
2015,"52†-†Astoria","Astoria",13,"Youngs River","T8N R9W S32 NWSE","46∞8'0""","-123∞49'32""","L","Clatsop","7/15/2015 12:08","Smoking",0,0.01
2015,"52†-†Astoria","Astoria",14,"Art's Hill","T7N R8W S28 SWNE","46∞3'50""","-123∞41'0""","H","Clatsop","7/15/2015 15:40","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",15,"Station Corner","T8N R7W S20 NWNW","46∞10'2""","-123∞35'10""","F","Clatsop","7/18/2015 7:35","Debris Burning",0,0.01
2015,"52†-†Astoria","Astoria",16,"Back 9","T7N R10W S9 SESE","46∞6'2""","-123∞55'22""","F","Clatsop","7/24/2015 17:00","Debris Burning",0,0.01
2015,"52†-†Astoria","Astoria",21,"103 Maple","T5N R7W S23 NENE","45∞54'25""","-123∞30'6""","F","Clatsop","8/1/2015 20:00","Equipment Use",0.1,0.1
2015,"52†-†Astoria","Astoria",22,"South Jetty","T9N R11W S26 SWSW","46∞13'50""","-124∞0'57""","F","Clatsop","8/3/2015 16:45","Recreationist",27,27
2015,"52†-†Astoria","Astoria",23,"Cow Creek","T5N R7W S33 NENW","45∞52'14""","-123∞31'45""","F","Clatsop","8/5/2015 13:30","Debris Burning",0,0.01
2015,"52†-†Astoria","Astoria",29,"Hug Point 2","T4N R10W S18 NWSW","45∞49'55""","-123∞57'30""","H","Clatsop","8/22/2015 9:16","Recreationist",0.01,0.01
2015,"52†-†Astoria","Astoria",33,"August Christmas","T5N R7W S33 SESW","45∞52'6""","-123∞33'35""","J","Clatsop","8/27/2015 13:38","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",34,"Blind Runner","T5N R6W S6 SWSW","45∞56'18""","-123∞28'47""","H","Clatsop","8/29/2015 8:45","Lightning",0.01,0.01
2015,"52†-†Astoria","Astoria",36,"CHATTERBOX","T7N R9W S18 NWNE","46∞5'11""","-123∞51'25""","H","Clatsop","9/9/2015 16:30","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",37,"Bothered Bee","T4N R7W S5 NWSW","45∞51'28""","-123∞35'4""","F","Clatsop","9/11/2015 17:20","Miscellaneous",0,0.01
2015,"52†-†Astoria","Astoria",38,"Easter Fire","T7N R7W S27 NENW","46∞3'33""","-123∞32'28""","H","Clatsop","4/4/2015 12:48","Equipment Use",0.01,0.01
2015,"52†-†Astoria","Astoria",38,"Holly Fire","T8N R7W S20 NENE","46∞10'9""","-123∞34'22""","H","Clatsop","9/21/2015 14:45","Debris Burning",0,0.01
2015,"52†-†Astoria","Astoria",42,"Goose","T8N R8W S23 NESE","46∞9'56""","-123∞37'52""","H","Clatsop","6/16/2015 13:17","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",43,"Bunny Fire","T8N R8W S16 NWSE","46∞10'24""","-123∞40'46""","H","Clatsop","6/17/2015 15:05","Debris Burning",0,0.01
2015,"52†-†Astoria","Astoria",45,"Pooch Fire","T7N R9W S17 SENW","46∞5'33""","-123∞49'49""","L","Clatsop","6/20/2015 11:45","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",46,"Iron Horse","T8N R8W S26 NENE","46∞9'15""","-123∞38'3""","H","Clatsop","6/22/2015 14:30","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",48,"Hay Hole","T7N R9W S13 SESE","46∞4'59""","-123∞44'6""","H","Clatsop","6/29/2015 10:09","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",49,"Gnat","T8N R7W S8 SENE","46∞11'39""","-123∞34'17""","H","Clatsop","6/29/2015 18:00","Debris Burning",0.01,0.01
2015,"52†-†Astoria","Astoria",50,"X-Ray","T7N R8W S29 NENE","46∞3'59""","-123∞41'38""","F","Clatsop","6/30/2015 17:50","Debris Burning",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",1,"Beaver Falls Road #1","T7N R4W S4 NENE","46∞7'36""","-123∞10'45""","F","Columbia","7/1/2015 12:17","Debris Burning",0.02,0.02
2015,"53†-†Forest Grove","Columbia City",15,"Columbia River Hwy/MP 38","T6N R2W S24 NESE","45∞59'8""","-122∞52'6""","A","Columbia","7/11/2015 16:40","Miscellaneous",1.5,1.5
2015,"53†-†Forest Grove","Columbia City",16,"McDermott Rd. #1","T5N R2W S10 NENW","45∞56'6""","-122∞55'5""","L","Columbia","7/12/2015 15:12","Miscellaneous",0.1,0.1
2015,"53†-†Forest Grove","Forest Grove",18,"Hill Road Truck Fire","T4S R4W S30 SESW","45∞11'18""","-123∞13'50""","F","Yamhill","7/13/2015 17:55","Equipment Use",0.15,0.15
2015,"53†-†Forest Grove","Columbia City",18,"Columbia River Hwy. #2","T3N R2W S24 NESW","45∞43'40""","-122∞52'52""","K","Columbia","7/19/2015 11:28","Debris Burning",0.04,0.04
2015,"53†-†Forest Grove","Forest Grove",21,"Grandhaven Fire","T4S R4W S9 NWSE","45∞14'0""","-123∞11'4""","A","Yamhill","7/18/2015 16:33","Juveniles",13.2,13.2
2015,"53†-†Forest Grove","Forest Grove",22,"N. Fork Salmonberry Fire","T3N R6W S18 SENW","45∞44'37""","-123∞28'29.5""","J","Tillamook","7/18/2015 17:50","Miscellaneous",2.7,2.7
2015,"53†-†Forest Grove","Columbia City",27,"Doan Rd. #1","T7N R2W S19 SENE","46∞4'45.9""","-122∞58'29""","F","Columbia","7/30/2015 1:28","Smoking",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",33,"Tresle Trail #1","T5N R1W S21 SENW","45∞54'21""","-122∞49'7""","F","Columbia","8/4/2015 21:25","Miscellaneous",0.02,0.02
2015,"53†-†Forest Grove","Forest Grove",34,"Old Bald Fire","T3S R6W S22 NWSE","45∞17'37.3""","-123∞24'32.2""","H","Yamhill","7/31/2015 14:03","Miscellaneous",0.68,0.68
2015,"53†-†Forest Grove","Forest Grove",38,"Helter Shelter","T3N R5W S29 SENW","45∞43'14""","-123∞19'49""","K","Washington","8/1/2015 15:29","Miscellaneous",1.9,1.9
2015,"53†-†Forest Grove","Columbia City",39,"Columbia River Hwy #3","T3N R2W S24 NESW","45∞43'40""","-122∞52'52""","J","Columbia","8/12/2015 17:45","Debris Burning",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",48,"Marshall Grass Fire","T2S R4W S19 NENW","45∞23'23""","-123∞13'54""","A","Washington","8/10/2015 14:16","Equipment Use",0.25,0.25
2015,"53†-†Forest Grove","Columbia City",48,"Hwy. 47 MP 10 #1","T6N R5W S11 NENW","46∞0'47""","-123∞14'46""","J","Columbia","8/21/2015 13:27","Miscellaneous",1.3,1.3
2015,"53†-†Forest Grove","Columbia City",49,"Dutch Canyon #1","T3N R2W S15 NWSE","45∞44'48""","-122∞54'49""","F","Columbia","8/22/2015 6:39","Equipment Use",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",50,"Moran Powerline","T2N R2W S4 SENE","45∞41'10""","-122∞55'54""","L","Washington","8/11/2015 8:30","Equipment Use",0.02,0.02
2015,"53†-†Forest Grove","Forest Grove",61,"Orchardale Grass Fire","T2N R4W S30 SENW","45∞37'43.8""","-123∞13'56.6""","A","Washington","8/22/2015 12:37","Equipment Use",0.5,0.5
2015,"53†-†Forest Grove","Forest Grove",62,"August Fire","T3N R4W S31 NWNW","45∞42'6.4""","-123∞13'20.8""","H","Washington","8/22/2015 14:58","Miscellaneous",27.2,27.2
2015,"53†-†Forest Grove","Forest Grove",64,"Rock Creek Brush Fire","T1N R2W S1 NWNE","45∞36'18""","-122∞52'37""","R","Washington","8/26/2015 15:00","Miscellaneous",1.5,1.5
2015,"53†-†Forest Grove","Forest Grove",67,"Marshall Road Tree Fire","T2S R4W S19 NWNE","45∞23'19""","-123∞13'36""","F","Yamhill","9/4/2015 18:15","Lightning",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",79,"Ponderosa Fire","T2S R4W S27 NWSE","45∞22'1""","-123∞9'57""","C","Yamhill","9/19/2015 15:56","Debris Burning",1,1
2015,"53†-†Forest Grove","Columbia City",83,"Beaver Falls Rd #2","T7N R3W S07 SWNE","46∞6'21.8""","-123∞6'8.1""","L","Columbia","9/27/2015 9:00","Recreationist",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",84,"Old Portland/Kaster#3","T4N R1W S09 NWNE","45∞51'1.7""","-122∞48'48.7""","A","Columbia","9/27/2015 14:52","Miscellaneous",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",87,"Murphy Road Burn Pile","T2N R3W S15 NENW","45∞39'43.8""","-123∞2'41.6""","X","Washington","10/7/2015 13:17","Debris Burning",0.02,0.02
2015,"53†-†Forest Grove","Columbia City",91,"Old Portland/Kaster Rd#4","T4N R1W S09 SWNE","45∞50'48.6""","-122∞48'44.6""","L","Columbia","10/6/2015 12:09","Recreationist",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",92,"Timber Power Line","T2N R5W S14 SWSW","45∞39'1.4""","-123∞16'31""","H","Washington","10/15/2015 10:15","Equipment Use",0,0
2015,"53†-†Forest Grove","Columbia City",94,"Nehalem Hwy. N #1","T5N R4W S23 NWSW","45∞53'55""","-123∞9'15""","R","Columbia","10/10/2015 13:41","Debris Burning",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",95,"Pebble Creek Road #1","T4N R4W S9 SWSE","45∞50'21""","-123∞10'57""","J","Columbia","10/18/2015 17:30","Recreationist",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",96,"South Pit #1","T4N R5W S19 SWNW","45∞49'1.6""","-123∞21'26.2""","J","Columbia","10/31/2015 9:08","Equipment Use",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",97,"Dutch Canyon #5","T3N R2W S11 SENW","45∞45'32.3""","-123∞1'28""","J","Columbia","11/23/2015 15:00","Recreationist",0.1,0.1
2015,"53†-†Forest Grove","Columbia City",109,"CRML MP9","T6N R5W S03 NWNW","46∞2'20""","-123∞17'21""","L","Columbia","6/12/2015 8:00","Equipment Use",0.01,0.01
2015,"53†-†Forest Grove","Columbia City",110,"Lindberg Rd.","T7N R3W S18","46∞5'34""","-123∞6'18""","L","Columbia","6/12/2015 15:22","Debris Burning",0.07,0.07
2015,"53†-†Forest Grove","Columbia City",111,"Holbrook #1","T6N R2W S21 NWNE","45∞59'27""","-122∞56'0""","X","Columbia","6/12/2015 15:20","Debris Burning",0.5,0.5
2015,"53†-†Forest Grove","Columbia City",112,"Sunset Grade#1","T4N R5W S19 NWNW","45∞48'16""","-123∞21'22""","I","Columbia","6/13/2015 11:15","Under Invest",67,67
2015,"53†-†Forest Grove","Forest Grove",113,"Meadow Lake Car Fire","T3S R5W S16 SENE","45∞18'44""","-123∞18'5""","F","Yamhill","6/9/2015 13:40","Equipment Use",0.2,0.2
2015,"53†-†Forest Grove","Forest Grove",116,"Oakridge Rd Fire","T3S R4W S6 NESE","45∞20'16""","-123∞13'15""","L","Yamhill","6/14/2015 17:21","Debris Burning",0.06,0.06
2015,"53†-†Forest Grove","Forest Grove",118,"Beaverdam Milepost 5","T1N R6W S11 NWNE","45∞35'24""","-123∞23'14""","K","Tillamook","6/17/2015 17:49","Miscellaneous",1.2,1.2
2015,"53†-†Forest Grove","Columbia City",124,"Columbia River Hwy","T3N R2W S24 NWSW","45∞43'41""","-122∞52'50""","L","Columbia","6/29/2015 16:11","Debris Burning",0.01,0.01
2015,"53†-†Forest Grove","Forest Grove",125,"Bishop Scott Field Fire","T2S R4W S29 SESE","45∞21'53""","-123∞11'53""","L","Yamhill","6/24/2015 20:05","Equipment Use",0.01,0.01
2015,"55†-†Western Oregon","Dallas",1,"Willamina Creek Fire","T5S R6W S19 NWNW","45∞7'33""","-123∞28'55""","X","Yamhill","7/4/2015 14:04","Miscellaneous",0.38,0.38
2015,"55†-†Western Oregon","Dallas",2,"Frosty Fire","T8S R5W S19 SWSW","44∞51'33""","-123∞20'54""","L","Polk","7/20/2015 12:15","Equipment Use",0.1,0.1
2015,"55†-†Western Oregon","Toledo",2,"Lincoln City Log","T7S R11W S34 NWNE","44∞55'38""","-124∞1'15""","J","Lincoln","7/6/2015 14:58","Recreationist",0.01,0.01
2015,"55†-†Western Oregon","Toledo",3,"Devils Well","T10S R10W S36 SWSE","44∞39'10""","-123∞51'28""","H","Lincoln","7/18/2015 15:20","Equipment Use",5.5,5.5
2015,"55†-†Western Oregon","Philomath",5,"High Honeygrove","T14S R7W S8 NWNE","44∞22'30""","-123∞33'42""","J","Benton","7/18/2015 9:42","Recreationist",0.01,0.01
2015,"55†-†Western Oregon","Dallas",5,"Dragonfly Dr.","T6S R8W S1 SESW","45∞4'34.3""","-123∞36'49.9""","F","Yamhill","7/27/2015 17:43","Juveniles",0.04,0.04
2015,"55†-†Western Oregon","Dallas",6,"Hwy 18 Stump","T6S R8W S14 NWNE","45∞3'25""","-123∞37'40""","X","Polk","7/30/2015 16:30","Debris Burning",0.01,0.01
2015,"55†-†Western Oregon","Philomath",7,"Luckiamute Field Fire","T10S R6W S30 NESE","44∞40'15.5""","-123∞27'40.1""","A","Benton","7/29/2015 19:37","Equipment Use",0.01,0.01
2015,"55†-†Western Oregon","Dallas",7,"Hwy 18 Power Pole","T6S R7W S8 SWSE","45∞3'41.8""","-123∞34'4.9""","L","Polk","8/1/2015 17:45","Equipment Use",0.25,0.25
2015,"55†-†Western Oregon","Toledo",7,"Yasek Loop Fire","T11S R10W S6 SENW","44∞39'5.6""","-123∞57'2.6""","H","Lincoln","7/29/2015 23:15","Equipment Use",0.25,0.25
2015,"55†-†Western Oregon","Dallas",8,"Bursell Rd.","T8S R5W S16 NESE","44∞52'25.7""","-123∞17'57.6""","L","Polk","8/3/2015 16:00","Equipment Use",2,2
2015,"55†-†Western Oregon","Philomath",9,"Hoskins Field","T10S R6W S29 NWNE","44∞40'46""","-123∞26'42""","A","Benton","7/30/2015 12:57","Equipment Use",17,17
2015,"55†-†Western Oregon","Dallas",9,"Pioneer Rd.","T7S R6W S13 SENW","44∞57'58""","-123∞22'5""","L","Polk","8/3/2015 16:15","Miscellaneous",0.01,0.01
2015,"55†-†Western Oregon","Toledo",9,"51st Area","T7S R11W S27 SWSW","44∞55'54""","-124∞1'21""","J","Lincoln","8/3/2015 11:03","Recreationist",0.01,0.01
2015,"55†-†Western Oregon","Philomath",10,"Norton Spot Fire","T11S R7W S23 SWNE","44∞36'3""","-123∞30'11""","A","Benton","8/1/2015 15:55","Equipment Use",0.01,0.01
2015,"55†-†Western Oregon","Dallas",10,"Richardson Rd.","T8S R6W S3 NWSE","44∞54'8""","-123∞24'15""","L","Polk","8/4/2015 13:50","Smoking",0.01,0.01
2015,"55†-†Western Oregon","Philomath",12,"Plunkett Cr.","T10S R6W S33 NWSE","44∞39'25""","-123∞25'25""","A","Benton","8/3/2015 6:57","Debris Burning",0.05,0.05
2015,"55†-†Western Oregon","Philomath",14,"Tatom Lane","T10S R6W S17 SWNE","44∞42'16""","-123∞26'37""","F","Benton","8/4/2015 1:34","Equipment Use",0.1,0.1
2015,"55†-†Western Oregon","Philomath",15,"Peterson Rd.","T12S R6W S35 SWSE","44∞28'42""","-123∞22'51""","X","Benton","8/9/2015 10:58","Miscellaneous",0.01,0.01
2015,"55†-†Western Oregon","Dallas",15,"Willamina Creek","T4S R7W S24 NWNW","45∞12'37""","-123∞29'37""","J","Yamhill","8/19/2015 16:28","Under Invest",215,215
2015,"55†-†Western Oregon","Philomath",16,"Skunk Creek","T13S R8W S31 SWNW","44∞24'3""","-123∞42'57""","H","Benton","8/11/2015 6:42","Lightning",7.2,7.2
2015,"55†-†Western Oregon","Toledo",16,"Fall Creek Fire","T13S R9W S12 SENE","44∞27'27""","-123∞43'29""","I","Lincoln","9/26/2015 14:25","Equipment Use",15,15
2015,"55†-†Western Oregon","Philomath",17,"Van Horn","T14S R9W S24 NESW","44∞20'9""","-123∞43'39""","H","Benton","8/11/2015 20:24","Lightning",0.04,0.04
2015,"55†-†Western Oregon","Dallas",17,"Airlie Rd Fire","T9S R5W S32 NWNW","44∞45'9.2""","-123∞20'8.3""","L","Polk","8/27/2015 17:45","Equipment Use",0.5,0.5
2015,"55†-†Western Oregon","Toledo",18,"Adams Creek","T9S R10W S36 SWSW","44∞44'31""","-123∞51'57""","J","Lincoln","10/16/2015 22:00","Recreationist",0.01,0.01
2015,"55†-†Western Oregon","Philomath",19,"Thunderstruck","T10S R5W S29 NWSW","44∞40'19""","-123∞20'1""","H","Benton","8/29/2015 11:06","Lightning",0.11,0.11
2015,"55†-†Western Oregon","Dallas",19,"Wildwood Strike","T10S R7W S3 NWSE","44∞43'49""","-123∞31'36""","R","Polk","9/25/2015 1:56","Lightning",0.01,0.01
2015,"55†-†Western Oregon","Philomath",20,"Woodhall Strike","T14S R6W S22 SWNW","44∞20'23""","-123∞24'32""","H","Benton","9/4/2015 17:46","Lightning",0.01,0.01
2015,"55†-†Western Oregon","Dallas",20,"Gooseneck Rd.","T6S R7W S36 SWNW","44∞0'31""","-123∞29'46""","X","Polk","9/27/2015 14:08","Debris Burning",0.01,0.01
2015,"55†-†Western Oregon","Dallas",24,"Buck Hollow","T5S R6W S7 SWNW","45∞9'6""","-123∞28'46""","L","Yamhill","10/24/2015 14:15","Debris Burning",1.7,1.7
2015,"55†-†Western Oregon","Dallas",26,"Gooseneck d√©j√† vu","T6S R7W S36 SWSW","45∞0'7""","-123∞28'58""","J","Polk","5/31/2015 7:30","Smoking",0.05,0.05
2015,"55†-†Western Oregon","Dallas",27,"Ronco Stump Fire","T9S R6W S7 SENE","44∞48'""","-123∞28'""","H","Polk","6/4/2015 15:00","Recreationist",0.01,0.01
2015,"55†-†Western Oregon","Dallas",29,"Salt Creek","T27S R5W S6 NWSE","44∞59'24""","-123∞20'38""","A","Polk","6/15/2015 14:00","Debris Burning",0.3,0.3
2015,"55†-†Western Oregon","Dallas",30,"Firehall Rd. Fire","T6S R8W S13 NWNW","45∞3'28""","-123∞37'16""","G","Polk","6/17/2015 17:13","Miscellaneous",0.25,0.25
2015,"55†-†Western Oregon","Toledo",34,"1110 Ridge Fire","T12S R10W S34 SENW","44∞29'1""","-123∞53'37""","I","Lincoln","3/11/2015 12:45","Equipment Use",0.02,0.02
2015,"55†-†Western Oregon","Toledo",35,"Baker Creek","T10S R10W S02 SENE","44∞43'58""","-123∞52'13""","F","Lincoln","6/18/2015 14:14","Debris Burning",0.01,0.01
2015,"55†-†Western Oregon","Toledo",37,"Euchre Fire","T9S R10W S15 NWNE","44∞47'43""","-123∞53'37""","J","Lincoln","6/24/2015 21:00","Under Invest",0.45,0.45
2015,"55†-†Western Oregon","Toledo",38,"Spanish Head","T7S R11W S27 SWNE","44∞56'1""","-124∞1'29""","X","Lincoln","6/26/2015 8:56","Debris Burning",0.01,0.01
2015,"58†-†North Cascade","Molalla",1,"Bornstedt Pies","T2S R4E S36 NENW","45∞21'35""","-122∞15'48""","J","Clackamas","7/1/2015 10:52","Debris Burning",0.2,0.2
2015,"58†-†North Cascade","Santiam",1,"22 Grass","T9S R4E S14 SWSW","44∞42'12""","-122∞39'16""","L","Marion","7/1/2015 14:05","Equipment Use",0.02,0.02
2015,"58†-†North Cascade","Molalla",2,"Molalla Ave Fire","T4S R2E S32 NESE","45∞10'57""","-122∞35'1""","F","Clackamas","7/1/2015 9:40","Miscellaneous",0.01,0.01
2015,"58†-†North Cascade","Santiam",2,"Niagara Fire","T9S R4E S26 SWSW","44∞45'20""","-122∞17'41""","H","Marion","7/4/2015 10:42","Under Invest",79,79
2015,"58†-†North Cascade","Molalla",4,"Big Barkdust #2","T5S R2E S3 SWSE","45∞9'42""","-122∞33'26""","X","Clackamas","7/3/2015 13:38","Miscellaneous",0.1,0.1
2015,"58†-†North Cascade","Santiam",6,"Riverwood Debris","T9S R2E S17 SWNW","44∞47'17""","-122∞36'3""","F","Marion","7/6/2015 8:00","Debris Burning",0.1,0.1
2015,"58†-†North Cascade","Molalla",9,"Hidden Creek Fire","T4S R3E S28 SWSW","45∞10'28""","-122∞26'55""","L","Clackamas","7/5/2015 15:06","Equipment Use",0.25,0.25
2015,"58†-†North Cascade","Molalla",10,"Baurer Rd.","T4S R3E S26 SWNW","45∞11'40""","-122∞24'50""","K","Clackamas","7/5/2015 17:15","Debris Burning",0.01,0.01
2015,"58†-†North Cascade","Santiam",10,"Milepost 17","T9S R1E S7 SESE","44∞47'50""","-122∞43'48""","L","Marion","7/12/2015 14:06","Equipment Use",1.67,1.67
2015,"58†-†North Cascade","Santiam",14,"Lulay Field","T10S R1E S16 NENE","44∞42'33""","-122∞41'5""","A","Linn","7/24/2015 14:35","Equipment Use",22,22
2015,"58†-†North Cascade","Molalla",17,"Propane Fire","T6S R2E S3 SWSW","45∞4'6""","-122∞33'26""","L","Clackamas","7/11/2015 12:52","Debris Burning",0.1,0.1
2015,"58†-†North Cascade","Molalla",20,"Bull Run Pile","T2S R5E S2 SWSW","45∞25'37""","-122∞11'28""","J","Multnomah","7/13/2015 15:51","Debris Burning",0.1,0.1
2015,"58†-†North Cascade","Molalla",22,"Union Mills Rd Grass","T4S R2E S35 SWNE","45∞10'41""","-122∞31'49""","L","Clackamas","7/15/2015 11:50","Debris Burning",0.6,0.6
2015,"58†-†North Cascade","Santiam",22,"North Fork Fire","T9S R2E S9 SWSE","44∞47'52""","-122∞33'57""","G","Marion","8/1/2015 15:44","Recreationist",1.2,1.2
2015,"58†-†North Cascade","Santiam",23,"Silver Falls Grass","T7S R1E S21 NWSE","44∞57'4""","-122∞41'17""","A","Marion","8/1/2015 16:46","Equipment Use",5.5,5.5
2015,"58†-†North Cascade","Santiam",24,"Milepost 15 Fire","T9S R1W S12 SWNW","44∞48'19""","-122∞45'44""","A","Marion","8/3/2015 15:46","Equipment Use",0.01,0.01
2015,"58†-†North Cascade","Santiam",27,"Rock Creek Fire","T10S R3E S14 NWSW","44∞42'6""","-122∞24'47""","G","Linn","8/10/2015 10:33","Recreationist",0.01,0.01
2015,"58†-†North Cascade","Molalla",29,"Cooper Creek Campfire","T7S R4E S19 NWSW","44∞55'52""","-122∞21'3""","X","Clackamas","7/20/2015 12:20","Recreationist",0.01,0.01
2015,"58†-†North Cascade","Molalla",30,"Tumalt Fire","T2N R6E S36 SENW","45∞36'39""","-122∞1'35""","L","Multnomah","7/21/2015 15:45","Railroad",0.1,0.1
2015,"58†-†North Cascade","Santiam",30,"Rodgers Mtn. Fire","T10S R1W S14 SWSW","44∞41'49""","-122∞46'55""","F","Linn","8/19/2015 15:45","Miscellaneous",4.7,4.7
2015,"58†-†North Cascade","Molalla",31,"Barlow Trail Fire","T2S R6E S24 NESW","45∞22'47""","-122∞0'58""","L","Clackamas","7/23/2015 9:50","Miscellaneous",0.01,0.01
2015,"58†-†North Cascade","Santiam",32,"Kinney Creek Fire","T10S R5E S18 NENW","44∞43'58""","-122∞13'26""","H","Linn","8/20/2015 5:05","Under Invest",0,11.3
2015,"58†-†North Cascade","Santiam",33,"Oak Street Fire","T9S R2E S20 SWNE","44∞46'34""","-122∞35'12""","X","Linn","8/22/2015 15:53","Miscellaneous",0.25,0.25
2015,"58†-†North Cascade","Santiam",35,"Fern Ridge Field","T9S R1E S5 NWNW","44∞48'41""","-122∞48'18""","A","Marion","8/27/2015 17:59","Equipment Use",0.25,0.25
2015,"58†-†North Cascade","Molalla",36,"Molalla River Campfire","T7S R3E S7 NESE","44∞58'24""","-122∞28'45""","X","Clackamas","7/26/2015 15:00","Recreationist",0.01,0.01
2015,"58†-†North Cascade","Santiam",37,"Polly Creek Lightning","T9S R2E S10 SENW","44∞47'43""","-122∞33'17""","G","Marion","8/29/2015 15:30","Lightning",0.1,0.1
2015,"58†-†North Cascade","Molalla",39,"Henry Creek Pile","T3S R7E S11 SENE","45∞19'40""","-121∞54'14""","K","Clackamas","7/28/2015 19:30","Debris Burning",0.01,0.01
2015,"58†-†North Cascade","Santiam",39,"Rock Creek 100","T10S R3E S9 SWNE","44∞43'12""","-122∞26'46""","G","Linn","2/22/2015 20:00","Recreationist",0.01,0.01
2015,"58†-†North Cascade","Santiam",39,"Wagner Rd.","T9S R2E S8 NENE","44∞44'19""","-122∞35'14""","L","Marion","9/4/2015 16:35","Debris Burning",0.3,0.3
